obs_times,source_counts,compare_counts,test_counts,source_relative_flux,test_relative_flux
2025-06-29 04:51:42.220,19693.847802642264,211220.9207942161,90556.40592623543,0.09323814955730249,0.428728392934433
2025-06-29 04:51:59.400,19227.797162488117,211894.3297479697,90852.09375529223,0.09074238647800509,0.4287613258143957
2025-06-29 04:52:16.700,20126.021735538332,211502.4433133456,93383.32566762666,0.09515739591585323,0.44152362594354133
2025-06-29 04:52:34.050,19257.780400592215,209794.11701518024,91009.63121906584,0.09179371030312906,0.4338044961121602
2025-06-29 04:52:51.300,19654.360443386842,212208.01570883315,91391.61319659106,0.09261836965835561,0.43066993907519435
2025-06-29 04:53:08.550,19378.402852516443,208798.86179176497,91269.75083074065,0.09280894869935889,0.4371180477112176
2025-06-29 04:53:25.840,18881.82661281349,210824.47246175952,92061.9428390836,0.08956183498212418,0.4366757889351877
2025-06-29 04:53:43.110,18806.26472450337,208086.67781021082,89963.68138582558,0.09037707229703557,0.43233753516829443
2025-06-29 04:54:00.390,18676.077093130843,209299.1383225484,90195.80058941459,0.08923150493027528,0.4309420540968254
2025-06-29 04:54:17.620,18649.239267014502,208661.0186181121,89334.9720768066,0.08937577028292969,0.4281344578323274
2025-06-29 04:54:34.970,18664.748553594578,208587.18294709473,92264.67051776074,0.0894817614864123,0.44233144728342394
2025-06-29 04:54:52.250,18806.305243286646,208059.02118954548,91599.45446597497,0.09038928057896498,0.4402570671642554
2025-06-29 04:55:09.590,18682.408830901753,210572.8065852765,91014.43794752684,0.08872184938721356,0.4322231318632701
2025-06-29 04:55:26.980,19164.177370141486,210779.4448021056,89461.48684090187,0.09092052305258773,0.4244317415528565
2025-06-29 04:55:44.340,18588.735380049056,209494.8570377087,89585.28385845674,0.08873122540045515,0.4276252177509616
2025-06-29 04:56:01.660,17429.179440469932,205833.20621096302,88292.35452139644,0.08467622771520344,0.4289509751449125
2025-06-29 04:56:18.990,18395.2716497969,210454.79832807544,89636.53883311752,0.08740723326783328,0.4259182472683954
2025-06-29 04:56:36.300,17519.830589101293,208905.32146801162,88742.63139454633,0.08386493204666401,0.424798328596598
2025-06-29 04:56:53.660,18565.22213994334,208845.0724717839,92677.06266836755,0.08889470994079404,0.44375987219372254
2025-06-29 04:57:11.020,18590.73353677946,208160.3624086047,90807.0333187322,0.08930967126338446,0.4362359493806229
2025-06-29 04:57:28.340,19372.228274699606,213210.36454458433,91802.73432753854,0.09085969303639874,0.43057350670371236
2025-06-29 04:57:45.580,18084.37058713883,208645.22826738196,91712.67428524606,0.0866752177239512,0.4395627690450457
2025-06-29 04:58:02.900,18768.24242738654,210371.40465051157,89370.52995265536,0.0892147982686434,0.42482261361103685
2025-06-29 04:58:20.230,17763.57211090527,209880.5818983376,88508.65933149483,0.08463656785318817,0.4217096147292313
2025-06-29 04:58:37.590,17884.110582345085,207614.06935805528,90828.6208674268,0.08614113021166113,0.4374877923652755
2025-06-29 04:58:54.960,18016.42447150422,206140.2972986308,90078.59975960835,0.08739884781190663,0.4369771507077702
2025-06-29 04:59:12.300,18181.991569951108,207960.71048573707,90629.50481364309,0.08742993581567954,0.43580109243692394
2025-06-29 04:59:29.620,17666.035471331787,208231.6211785911,89675.95010386806,0.08483838992052223,0.4306548140781987
2025-06-29 04:59:46.950,17920.730164805067,210724.96160680594,91392.90118226806,0.08504322424907382,0.4337070486827237
2025-06-29 05:00:04.340,17825.350783536913,207101.11838048857,89302.99253687628,0.08607076061650219,0.4312047816796807
2025-06-29 05:00:21.770,18910.40641080717,210520.46228477592,89995.91453924343,0.08982692801247331,0.4274924801252995
2025-06-29 05:00:39.190,18312.427052878375,208179.72971986956,90306.32726753186,0.08796450585040105,0.4337902032491333
2025-06-29 05:00:56.490,15663.718326274906,200103.55869888107,83126.98657476509,0.07827805976127547,0.41541983118778947
2025-06-29 05:01:13.690,18121.51398123464,209115.5603442948,89483.04137545371,0.08665789361345841,0.42791192213590357
2025-06-29 05:01:30.920,15688.220422030074,194204.1497192732,82603.0553319646,0.08078210710073794,0.4253413505909596
2025-06-29 05:01:48.340,18076.76122083816,203034.69686044523,88770.01220527099,0.08903286728998405,0.4372159713484172
2025-06-29 05:02:05.680,17992.394593934463,208448.74064766115,90991.89196687072,0.08631567903951423,0.4365192693616385
2025-06-29 05:02:22.980,17918.44720143112,210230.22520460567,90110.97192398245,0.08523249777234491,0.4286299547854374
2025-06-29 05:02:40.360,18196.917729609675,208532.33694178698,89558.17153049506,0.08726185107055819,0.42946898713121767
2025-06-29 05:02:57.800,17128.039716437135,205134.57992134744,87752.5920778582,0.08349659878409753,0.4277805921922293
2025-06-29 05:03:15.170,16901.268483386644,204723.06072698906,88309.40340535152,0.08255673993622799,0.43136031227628824
2025-06-29 05:03:32.440,18377.70540443113,211843.84895245766,90398.19932912404,0.08675118723204224,0.4267209068194911
2025-06-29 05:03:49.750,18035.122358091878,208296.232459616,89814.46414648944,0.0865840065618493,0.4311862153527067
2025-06-29 05:04:07.150,17478.371169292583,210216.62855181814,89778.37587674145,0.08314456991200478,0.42707551964478013
2025-06-29 05:04:24.530,18049.671484422783,209956.93238991077,88264.09722082928,0.08596844733329767,0.4203914403593692
2025-06-29 05:04:41.870,17884.202190130523,209180.94479303848,89261.110193399,0.0854963257185064,0.4267172150011706
2025-06-29 05:04:59.230,17873.523491512613,206540.8360024493,89118.5044108089,0.08653748012959847,0.43148128058197693
2025-06-29 05:05:16.590,17652.544872713108,207248.40227174043,90688.39673916649,0.08517578268018397,0.4375830922945185
2025-06-29 05:05:33.940,17214.92774838444,206312.80625435006,89045.71552518837,0.08344090733350426,0.4316053721619661
2025-06-29 05:05:51.320,17954.170709898364,211062.55252925307,90630.08519916702,0.08506563809991796,0.4293991715399432
2025-06-29 05:06:08.640,17743.066537206872,207976.841291357,89854.68099367834,0.08531270321752035,0.43204176212965917
